"pVal","phase","peak.shape","period","cruise","pop","param","first_peak","peak_hour"
3.37165598182479e-06,14,8,24,"KM1821","croco","abundance",2018-11-16 19:00:00,9
2.10611859813979e-32,22,15,24,"KM1821","croco","Qc",2018-11-17 03:00:00,17
0.210257319523764,2,16,24,"KM1901","croco","abundance",2019-01-15 08:00:00,22
0.126187166151364,24,12,24,"KM1901","croco","Qc",2019-01-16 06:00:00,20
0.0206978919975114,5,9,24,"KM1903","croco","abundance",2019-02-19 11:00:00,1
0.0560123251130667,3,13,24,"KM1903","croco","Qc",2019-02-19 09:00:00,23
0.361180990457873,13,7,24,"KM1909","croco","abundance",2019-06-11 20:00:00,10
0.91364925846274,12,17,24,"KM1909","croco","Qc",2019-06-11 19:00:00,9
0.000348092259559429,10,7,24,"KM1912","croco","abundance",2019-07-01 16:00:00,6
5.71523092526738e-14,2,8,24,"KM1912","croco","Qc",2019-07-01 08:00:00,22
0.000140431474018152,8,8,24,"KM1915","croco","abundance",2019-08-02 16:00:00,6
1.2809110187611e-16,23,13,24,"KM1915","croco","Qc",2019-08-03 07:00:00,21
2.39766474569867e-17,7,7,24,"KM1917","croco","abundance",2019-09-04 13:00:00,3
1.33454627892844e-35,2,10,24,"KM1917","croco","Qc",2019-09-04 08:00:00,22
3.13518197126547e-08,13,7,24,"KM2001","croco","abundance",2020-01-07 19:00:00,9
0.870290138590613,13,13,24,"KM2001","croco","Qc",2020-01-07 19:00:00,9
0.917606916373761,6,8,24,"KM2002","croco","abundance",2020-01-30 13:00:00,3
0.853708145976811,12,12,24,"KM2002","croco","Qc",2020-01-30 19:00:00,9
3.74553257749409e-20,14,7,24,"KM2009","croco","abundance",2020-08-07 18:00:00,8
1.17083147504241e-28,4,12,24,"KM2009","croco","Qc",2020-08-07 08:00:00,22
1.10813959680816e-28,12,8,24,"KM2010","croco","abundance",2020-08-31 18:00:00,8
4.28198430698962e-64,1,10,24,"KM2010","croco","Qc",2020-08-31 07:00:00,21
2.31200969662513e-08,6,7,24,"KM2011","croco","abundance",2020-09-26 16:00:00,6
1.80850523467619e-20,22,9,24,"KM2011","croco","Qc",2020-09-27 08:00:00,22
4.35199611566059e-08,4,13,24,"KM2013","croco","abundance",2020-11-18 14:00:00,4
3.35098294416316e-07,20,9,24,"KM2013","croco","Qc",2020-11-19 06:00:00,20
0.00231299986821579,7,16,24,"KM2014","croco","abundance",2020-12-18 12:00:00,2
0.387687805211768,4,17,24,"KM2014","croco","Qc",2020-12-18 09:00:00,23
1.52111339265021e-07,13,8,24,"KM2101","croco","abundance",2021-01-12 18:00:00,8
0.118540393771162,12,7,24,"KM2101","croco","Qc",2021-01-12 17:00:00,7
